SID,推荐去向1,推荐去向2
pjxyqxbj512,保研,境外留学
pjxyqxbj262,直接就业,境外留学
pjxyqxbj261,保研,直接就业
pjxyqxbj511,直接就业,考研
pjxyqxbj257,直接就业,待业/其他
pjxyqxbj548,直接就业,待业/其他
pjxyqxbj987,直接就业,待业/其他
pjxyqxbj470,保研,考研
pjxyqxbj469,直接就业,待业/其他
pjxyqxbj507,直接就业,境外留学
pjxyqxbj255,直接就业,待业/其他
pjxyqxbj506,直接就业,待业/其他
pjxyqxbj546,境外留学,直接就业
pjxyqxbj253,境外留学,直接就业
pjxyqxbj430,直接就业,待业/其他
pjxyqxbj428,保研,境外留学
pjxyqxbj465,直接就业,待业/其他
pjxyqxbj464,境外留学,保研
pjxyqxbj505,直接就业,待业/其他
pjxyqxbj927,保研,境外留学
pjxyqxbj964,直接就业,待业/其他
pjxyqxbj945,境外留学,保研
pjxyqxbj347,直接就业,待业/其他
pjxyqxbj422,保研,直接就业
pjxyqxbj460,保研,境外留学
pjxyqxbj501,直接就业,待业/其他
pjxyqxbj459,直接就业,境外留学
pjxyqxbj961,直接就业,待业/其他
pjxyqxbj957,直接就业,待业/其他
pjxyqxbj345,直接就业,待业/其他
pjxyqxbj305,直接就业,待业/其他
pjxyqxbj384,直接就业,待业/其他
pjxyqxbj379,直接就业,待业/其他
pjxyqxbj419,保研,考研
pjxyqxbj418,保研,直接就业
pjxyqxbj417,直接就业,待业/其他
pjxyqxbj955,保研,境外留学
pjxyqxbj954,境外留学,直接就业
pjxyqxbj301,保研,境外留学
pjxyqxbj340,境外留学,考研
pjxyqxbj415,直接就业,境外留学
pjxyqxbj374,直接就业,保研
pjxyqxbj995,直接就业,待业/其他
pjxyqxbj993,直接就业,待业/其他
pjxyqxbj898,直接就业,境外留学
pjxyqxbj897,境外留学,直接就业
pjxyqxbj858,保研,境外留学
pjxyqxbj896,保研,境外留学
pjxyqxbj895,保研,境外留学
pjxyqxbj337,直接就业,待业/其他
pjxyqxbj296,直接就业,待业/其他
pjxyqxbj334,直接就业,待业/其他
pjxyqxbj333,保研,直接就业
