student_id,听课质量评级,是否隐性逃课
pjxyqwbj001,一般,否
pjxsqxbj970,游离,是
pjxsqxbj857,游离,否
pjxyqwbj266,一般,否
pjxuqwbj881,沉浸,否
pjxuqwbj477,游离,否
pjwtqxbj971,游离,否
pjxyqxbk224,一般,否
pjxyqwbk698,游离,是
pjxyqxbj676,一般,否
pjxyqxbk382,一般,否
pjxyqwbj038,一般,否
pjxyqxbj066,游离,是
pjxsqxbj800,游离,否
pjxyqxbj512,一般,否
pjxxztfj972,一般,否
pjxyqxbk596,一般,否
pjxyqwbj884,游离,否
pjxyqxbk935,游离,否
pjxyqxbj868,一般,否
pjxyqxbk445,一般,否
pjxsqxbj983,游离,是
pjxyqxbk147,一般,否
pjxuqwbj904,沉浸,否
pjxyqwbk542,游离,是
pjxyqxbl992,游离,是
pjxqqxbj957,沉浸,否
pjxwzxfj992,一般,否
pjxyqwbj732,一般,否
pjxyqxbk549,一般,否
pjxuqwbj618,游离,否
pjxsqxbj811,一般,否
pjxyqwbj853,一般,否
pjxyqxbj470,一般,否
pjxyqwbj331,游离,否
pjxuqwbj678,游离,是
pjxuqwbj955,游离,是
pjxyqxbl793,一般,否
pjxyqxbj724,一般,否
pjxyqxbj896,一般,否
pjwrqxbj949,游离,是
pjxuqwbj643,游离,否
pjxyqwbk652,一般,否
pjxyqwbj744,游离,是
pjxyqwbk845,游离,否
pjxyqwbj662,一般,否
pjxxxxbj937,游离,是
pjxyqxbk898,一般,否
pjxyqwbj300,一般,否
pjxyqwbj361,一般,否
pjxuqwbj665,游离,是
pjxyqxbk950,一般,否
pjxyqwbj154,一般,否
pjxuqwbj799,一般,否
pjxrqxbj894,游离,否
pjxyqwbj977,一般,否
pjxyqxbj228,一般,否
pjxyqxbj419,一般,否
pjxyqwbj108,游离,否
pjxyqxbk911,一般,否
pjxyqwbj622,一般,否
pjxyqwbj673,一般,否
pjxyqwbj428,一般,否
pjxyqwbj205,游离,是
pjxpqxbj918,沉浸,否
pjxyqxbl911,一般,否
pjxyqxbj159,一般,否
pjxyqwbj007,游离,否
pjxyqwbk802,游离,是
pjxyqxbj583,游离,是
pjxyqwbk764,游离,是
pjxyqxbj973,一般,否
pjxyqxbj465,一般,否
pjxyqxbl990,一般,否
pjxyqxbj857,一般,否
pjxyqwbj020,游离,否
pjxyqxbk358,一般,否
pjwtqxbj983,游离,否
pjxyqwbk899,游离,否
pjxyqwbj836,游离,否
pjxyqxbj365,一般,否
pjxsqxbj779,游离,是
pjxyqwbk697,一般,否
pjxsqxbj897,游离,否
pjxyqxbk101,一般,否
pjxyqwbk812,一般,否
pjxyqwbk953,游离,是
pjxyqwbj636,一般,否
pjwtqxbj976,游离,是
pjxyqxbk592,游离,是
pjxyqwbj023,游离,是
pjwrqxbj984,游离,否
pjxyqxbl919,游离,否
pjxyqxbj051,一般,否
pjxyqxbl815,游离,否
pjxuqwbj770,游离,否
pjxqqxbj954,沉浸,否
pjxuqwbj516,游离,是
pjxyqwbj456,一般,否
pjxuqwbj499,游离,否
pjxyqxbj945,一般,否
pjxyqxbk185,游离,是
pjxsqxbj946,游离,是
pjxyqwbj058,游离,否
pjxyqxbk035,一般,否
pjxyqwbj930,一般,否
pjxyqxbj884,一般,否
pjxqzxbj980,游离,否
pjxsqxbj825,一般,否
pjxyqwbk505,一般,否
pjxuqwbj445,游离,否
pjxyqxbj789,一般,否
pjxxzxbj995,一般,否
pjxyqwbj369,一般,否
pjxyqxbk318,一般,否
pjxyqxbj978,一般,否
pjxuqwbj903,游离,否
pjxyqxbl713,一般,否
pjxwzxbj986,一般,否
pjxyqwbj101,游离,否
pjxyqwbj791,游离,是
pjxuqwbj818,游离,是
pjxsqxbj888,游离,否
pjxyqwbj104,一般,否
pjxyqwbk839,游离,否
pjxsqxbj751,游离,否
pjxyqwbj209,一般,否
pjxyqwbj965,游离,否
pjxuqwbj751,沉浸,否
pjxqzxbj967,游离,否
pjxuqwbj568,游离,否
pjxyqxbl980,一般,否
pjxsqxbj894,游离,是
pjxuqwbj826,游离,否
pjxyqxbj625,一般,否
pjxyqxbk032,一般,否
pjxvzxbj996,一般,否
pjxrqxbj961,游离,是
pjxyqwbk935,一般,否
pjxyqxbj984,游离,是
pjxxzxkj998,游离,否
pjxyqwbk838,一般,否
pjxyqwbj461,一般,否
pjxxxxbj975,游离,是
pjxyqxbk064,一般,否
pjxyqxbj692,一般,否
pjxyqxbj225,一般,否
pjxyqxbk731,一般,否
pjxyqxbk764,一般,否
pjxyqxbj103,一般,否
pjxyqxbj726,一般,否
pjxyqxbl993,游离,否
pjxpqxbj994,沉浸,否
pjxuqwbj679,游离,否
pjxyqxbk477,一般,否
pjxyqxbl943,一般,否
pjxyqxbj080,一般,否
pjxuqwbj711,游离,否
pjxyqxbj840,一般,否
pjxyqwbj269,游离,否
pjxyqwbj896,一般,否
pjxyqxbj544,一般,否
pjxyqxbj029,一般,否
pjxuqwbj655,游离,是
pjxyqwbk710,游离,否
pjxuqwbj917,游离,是
pjvyzvfj998,一般,否
pjwtqxbj914,游离,否
pjxyqxbk269,一般,否
pjxyqxbk885,一般,否
pjxyqxbj262,一般,否
pjxyqxbl745,一般,否
pjxyqxbj238,一般,否
pjxyqxbj098,一般,否
pjxwxxbj993,游离,是
pjxyqxbk501,一般,否
pjxyqxbj154,一般,否
pjxyqxbj905,游离,是
pjxxxxbj932,游离,是
pjxyqxbj823,游离,否
pjxyqxbj253,一般,否
pjxsqxbj829,沉浸,否
pjxyqwbj248,游离,否
pjxsqxbj929,游离,是
pjxyqxbj023,一般,否
pjxuqwbj454,游离,是
pjxyqxbk981,游离,是
pjwrqxbj929,游离,否
pjxyqxbj876,一般,否
pjxyqwbj061,游离,否
pjxyqwbj796,一般,否
pjxyqwbj803,一般,否
pjxwzxfj993,一般,否
pjxyqwbj859,一般,否
pjxyqxbj710,一般,否
pjxyqwbk895,游离,是
pjxyqwbj274,一般,否
pjxyqwbk804,游离,是
pjxuqwbj591,一般,否
pjxyqxbj058,一般,否
pjxsqxbj820,游离,否
pjxyqxbj167,游离,是
