学号,行为偏移分值,当前画像描述,干预建议权重
pjxxztfj997,0.2145,画像状态：学习可能下滑,风险等级：高
pjxuzsfj995,0.2134,画像状态：学习可能下滑,风险等级：高
pjxuzsfj980,0.2106,画像状态：学习可能下滑,风险等级：高
pjxuzsfj978,0.2094,画像状态：学习可能下滑,风险等级：高
pjxqzxbj982,0.205,画像状态：学习可能下滑,风险等级：高
pjxsqxbj760,0.205,画像状态：学习可能下滑,风险等级：高
pjxqzxbj983,0.2022,画像状态：学习可能下滑,风险等级：高
pjxvzrfj997,0.1984,画像状态：学习可能下滑,风险等级：高
pjxxztfj986,0.175,画像状态：学习可能下滑,风险等级：高
pjxvzxfj987,0.175,画像状态：学习可能下滑,风险等级：高
pjxvzrfj975,0.174,画像状态：学习可能下滑,风险等级：高
pjxwzxfj984,0.1729,画像状态：学习可能下滑,风险等级：高
pjxuqwbj985,0.1723,画像状态：学习可能下滑,风险等级：高
pjxyqxbk168,0.1723,画像状态：学习可能下滑,风险等级：高
pjxyqwbj820,0.1696,画像状态：学习可能下滑,风险等级：高
pjxvzxfj988,0.1634,画像状态：学习可能下滑,风险等级：高
pjxwzxfj975,0.1628,画像状态：学习可能下滑,风险等级：高
pjxvztfj977,0.1602,画像状态：学习可能下滑,风险等级：高
pjxsqxbj810,0.1576,画像状态：学习可能下滑,风险等级：高
pjxuqwbj665,0.1571,画像状态：学习可能下滑,风险等级：高
pjxsqxbj768,0.1555,画像状态：学习可能下滑,风险等级：高
pjxyqxbl677,0.155,画像状态：学习可能下滑,风险等级：高
pjxqzxbj971,0.1545,画像状态：学习可能下滑,风险等级：高
pjxsqxbj771,0.1545,画像状态：学习可能下滑,风险等级：高
pjxyqxbj374,0.1529,画像状态：学习可能下滑,风险等级：高
pjxxztfj975,0.1498,画像状态：学习可能下滑,风险等级：高
pjxwxxbj941,0.1472,画像状态：学习可能下滑,风险等级：高
pjxtzxfj980,0.1472,画像状态：学习可能下滑,风险等级：高
pjwrqxbj979,0.1471,画像状态：学习可能下滑,风险等级：高
pjxyqxbk222,0.1457,画像状态：学习可能下滑,风险等级：高
pjxyqwbj961,0.1349,画像状态：学习可能下滑,风险等级：高
pjxyqwbj836,0.1327,画像状态：学习可能下滑,风险等级：高
pjxyqwbk870,0.1304,画像状态：学习可能下滑,风险等级：高
pjxyqxbj167,0.1297,画像状态：学习可能下滑,风险等级：高
pjxwxxbj899,0.1258,画像状态：学习可能下滑,风险等级：高
pjxsqxbj788,0.1258,画像状态：学习可能下滑,风险等级：高
pjxyqwbj803,0.1252,画像状态：学习可能下滑,风险等级：高
pjxyqxbj102,0.1243,画像状态：学习可能下滑,风险等级：高
pjxyqxbk495,0.1237,画像状态：学习可能下滑,风险等级：高
pjxyqxbk782,0.1237,画像状态：学习可能下滑,风险等级：高
pjwrqxbj924,0.1232,画像状态：学习可能下滑,风险等级：高
pjxuqwbj826,0.1227,画像状态：学习可能下滑,风险等级：高
pjxwxxbj995,0.1217,画像状态：学习可能下滑,风险等级：高
pjxvzxfj980,0.1217,画像状态：学习可能下滑,风险等级：高
pjxyqwbj727,0.1211,画像状态：学习可能下滑,风险等级：高
pjxyqxbk072,0.1206,画像状态：学习可能下滑,风险等级：高
pjxyqwbj566,0.1181,画像状态：学习可能下滑,风险等级：高
pjxyqxbl755,0.1176,画像状态：学习可能下滑,风险等级：高
pjxwzxfj994,0.1112,画像状态：学习可能下滑,风险等级：高
pjxyqwbj615,0.1072,画像状态：学习可能下滑,风险等级：高
pjxyqwbj807,0.1024,画像状态：学习可能下滑,风险等级：高
pjxvzxfj982,0.1004,画像状态：学习可能下滑,风险等级：高
pjxyqwbj986,0.0992,画像状态：学习可能下滑,风险等级：高
pjxyqxbj162,0.0915,画像状态：学习可能下滑,风险等级：高
pjxyqxbl796,0.0904,画像状态：学习可能下滑,风险等级：高
pjxxztfj991,0.0899,画像状态：学习可能下滑,风险等级：高
pjxxxxbj915,0.0852,画像状态：学习可能下滑,风险等级：高
pjxxxxbj917,0.0847,画像状态：学习可能下滑,风险等级：高
pjxyqwbj613,0.08,画像状态：学习可能下滑,风险等级：高
pjxuqwbj637,0.0796,画像状态：学习可能下滑,风险等级：高
pjxyqxbk613,0.0781,画像状态：学习可能下滑,风险等级：高
pjxwxxbj928,0.0781,画像状态：学习可能下滑,风险等级：高
pjxwxxbj943,0.0767,画像状态：学习可能下滑,风险等级：高
pjxyqxbj415,0.0749,画像状态：学习可能下滑,风险等级：高
pjxyqxbj155,0.0745,画像状态：学习可能下滑,风险等级：高
pjxxxxbj955,0.0745,画像状态：学习可能下滑,风险等级：高
pjxyqxbk097,0.0741,画像状态：学习可能下滑,风险等级：高
pjxyqwbk896,0.074,画像状态：学习可能下滑,风险等级：高
pjxyqwbk534,0.073,画像状态：学习可能下滑,风险等级：高
pjxyqwbk859,0.0726,画像状态：学习可能下滑,风险等级：高
