student_id,total_active_days,Cluster_ID,Behavioral_Pattern
200307700011,42,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzvfj974,25,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzvfj977,22,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzvfj989,11,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzvfj994,33,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzvfj998,17,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzxbj993,454,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjvyzxbj995,327,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjvyzxbj997,203,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjvyzxbj998,339,0.0,常规混合型 (Standard Mixed Pattern)
pjwqzwbj998,260,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj882,338,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj884,318,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj890,614,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj898,368,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj901,470,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj905,453,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj911,376,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj913,339,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj916,310,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj918,301,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj919,356,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj920,322,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj923,430,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj924,334,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj925,354,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj926,310,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj929,416,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj932,308,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj935,285,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj938,305,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj944,341,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj945,304,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj948,354,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj949,335,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj951,332,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj952,348,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj955,315,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj956,325,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj965,324,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj967,330,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj973,596,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj974,336,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj977,367,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj978,310,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj979,335,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj980,341,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj983,291,0.0,常规混合型 (Standard Mixed Pattern)
