XH,异常得分,沉迷指数,沉迷等级,SVM标签
pjxyqxbj474,0.426212012011357,0.9995889847924373,重度沉迷,超长待机
pjxyqxbk950,0.4265004788013401,0.9991779695848746,重度沉迷,超长待机
pjxyqwbj316,0.4270488752273487,0.998766954377312,重度沉迷,超长待机
pjxyqwbj538,0.4271796757656359,0.9983559391697493,重度沉迷,超长待机
pjxyqwbk740,0.4271931586096529,0.9967118783394986,重度沉迷,超长待机
pjxyqwbj394,0.4271931586096529,0.9967118783394986,重度沉迷,超长待机
pjxyqxbk039,0.4271931586096529,0.9967118783394986,重度沉迷,超长待机
pjxyqwbj035,0.4271931586096529,0.9967118783394986,重度沉迷,超长待机
pjxyqwbj663,0.42720768878000964,0.9950678175092479,重度沉迷,超长待机
pjxyqxbj031,0.42720768878000964,0.9950678175092479,重度沉迷,超长待机
pjxyqxbj522,0.42720768878000964,0.9950678175092479,重度沉迷,超长待机
pjxyqxbj921,0.42720768878000964,0.9950678175092479,重度沉迷,超长待机
pjxyqxbk915,0.42744386899664844,0.9946568023016852,重度沉迷,超长待机
pjxsqxbj808,0.4275436113424261,0.9942457870941225,重度沉迷,超长待机
pjxyqxbj562,0.4276946798679342,0.9938347718865598,重度沉迷,超长待机
pjxyqxbk358,0.42785630735426805,0.9917796958487464,重度沉迷,超长待机
pjxyqxbl916,0.42785630735426805,0.9917796958487464,重度沉迷,超长待机
pjxsqxbj827,0.42785630735426805,0.9917796958487464,重度沉迷,超长待机
pjxyqwbj841,0.42785630735426805,0.9917796958487464,重度沉迷,超长待机
pjxyqxbk201,0.42785630735426805,0.9917796958487464,重度沉迷,超长待机
pjxyqxbk839,0.4278615049809738,0.9913686806411838,重度沉迷,超长待机
pjxyqwbj232,0.4280827297128744,0.9905466502260584,重度沉迷,超长待机
pjxuqwbj731,0.4280827297128744,0.9905466502260584,重度沉迷,超长待机
pjxyqxbj293,0.428121749837341,0.9901356350184957,重度沉迷,超长待机
pjxyqxbk566,0.42833733726570355,0.9893136046033704,重度沉迷,超长待机
pjxyqwbk671,0.42833733726570355,0.9893136046033704,重度沉迷,超长待机
pjxyqxbj981,0.428440867359258,0.987258528565557,重度沉迷,超长待机
pjxyqxbj506,0.428440867359258,0.987258528565557,重度沉迷,超长待机
pjxyqxbj955,0.428440867359258,0.987258528565557,重度沉迷,超长待机
pjxyqxbl807,0.428440867359258,0.987258528565557,重度沉迷,超长待机
pjxyqwbk664,0.428440867359258,0.987258528565557,重度沉迷,超长待机
pjwrqxbj973,0.42844618553853175,0.9868475133579943,重度沉迷,超长待机
pjxyqxbl826,0.42873084267253336,0.9856144677353063,重度沉迷,超长待机
pjxyqxbj144,0.42873084267253336,0.9856144677353063,重度沉迷,超长待机
pjxyqxbj932,0.42873084267253336,0.9856144677353063,重度沉迷,超长待机
pjxyqxbj662,0.4287370550526508,0.9852034525277436,重度沉迷,超长待机
pjxyqwbj802,0.42876475027258315,0.9847924373201808,重度沉迷,超长待机
pjxyqxbj648,0.42883867120931185,0.9839704069050554,重度沉迷,超长待机
pjxuqwbj850,0.42883867120931185,0.9839704069050554,重度沉迷,超长待机
pjxuqwbj499,0.42887087061882817,0.9835593916974928,重度沉迷,超长待机
pjxyqxbj464,0.4289154633244948,0.9831483764899301,重度沉迷,超长待机
pjwrqxbj994,0.42908584729153976,0.9819153308672421,重度沉迷,超长待机
pjxyqxbk491,0.42908584729153976,0.9819153308672421,重度沉迷,超长待机
pjxyqwbk815,0.42908584729153976,0.9819153308672421,重度沉迷,超长待机
pjxyqxbj290,0.4291431521367597,0.9815043156596794,重度沉迷,超长待机
pjxyqxbk211,0.4293743206077941,0.980682285244554,重度沉迷,超长待机
pjxyqxbj610,0.4293743206077941,0.980682285244554,重度沉迷,超长待机
pjxyqxbk820,0.4295110848486897,0.9802712700369913,重度沉迷,超长待机
pjxyqxbk844,0.4295506562182129,0.9786272092067406,重度沉迷,超长待机
pjxyqwbk791,0.4295506562182129,0.9786272092067406,重度沉迷,超长待机
pjwrqxbj979,0.4295506562182129,0.9786272092067406,重度沉迷,超长待机
pjxuqwbj774,0.4295506562182129,0.9786272092067406,重度沉迷,超长待机
pjxyqxbj647,0.4295858009463453,0.9782161939991779,重度沉迷,超长待机
pjxyqxbl904,0.42972386590394923,0.9778051787916153,重度沉迷,超长待机
pjxyqwbj646,0.4299223530922109,0.9773941635840526,重度沉迷,超长待机
pjxsqxbj778,0.4300469403650919,0.9769831483764899,重度沉迷,超长待机
pjxyqwbk575,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjxqqxbj988,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjwtqxbj985,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjxyqxbj866,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjxyqwbk615,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjxuzvbj996,0.4301155974284772,0.9745170571311138,重度沉迷,超长待机
pjxyqxbj888,0.43012920861690673,0.9741060419235512,重度沉迷,超长待机
pjxyqwbj876,0.4303317784186129,0.9736950267159885,重度沉迷,超长待机
pjxyqxbj279,0.4303586750183607,0.9720509658857378,重度沉迷,超长待机
pjxyqxbk941,0.4303586750183607,0.9720509658857378,重度沉迷,超长待机
pjxyqxbj581,0.4303586750183607,0.9720509658857378,重度沉迷,超长待机
pjxyqxbj815,0.4303586750183607,0.9720509658857378,重度沉迷,超长待机
pjxuqwbj698,0.4303811865439962,0.9716399506781751,重度沉迷,超长待机
pjxxxxbj914,0.4303989053553009,0.9712289354706124,重度沉迷,超长待机
pjxyqxbk043,0.4305676616379782,0.9675297986025483,重度沉迷,超长待机
pjxyqxbl950,0.4305676616379782,0.9675297986025483,重度沉迷,超长待机
pjxyqwbj584,0.4305676616379782,0.9675297986025483,重度沉迷,超长待机
