XH,ZYNJ_Score,CJ_Score,SZF_Score,NLF_Score,Schol_Count,Schol_Max_Score,Schol_Total_Score,Comp_Count,Comp_Max_Score,Comp_Total_Score,Cluster,Warning_Label
pjvyzvfj974,0.8571428571428572,0.0,0.0,0.0,1.0,3.0,3.0,1.0,4.8,4.8,0,学业关注 (潜在风险)
pjvyzvfj977,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.8,1,学业预警 (高危风险)
pjvyzvfj989,0.8571428571428572,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjvyzvfj994,0.2857142857142857,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjvyzvfj998,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjvyzxbj993,0.2877920209560273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjvyzxbj995,0.3585629011730389,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjvyzxbj997,0.9447008291311423,0.0,0.0,0.0,4.0,2.0,8.0,1.0,9.6,9.6,3,学业平稳 (低风险)
pjvyzxbj998,0.29110959455924523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwqzwbj998,0.661277459416245,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj882,0.6499916513608281,0.0,0.0,0.0,2.0,2.0,3.0,2.0,6.0,10.8,0,学业关注 (潜在风险)
pjwrqxbj884,0.5783391812865497,0.0,0.0,0.0,2.0,3.0,5.0,3.0,14.399999999999999,24.0,3,学业平稳 (低风险)
pjwrqxbj890,0.828053682487725,0.0,0.0,0.0,4.0,2.0,5.0,4.0,9.6,33.599999999999994,3,学业平稳 (低风险)
pjwrqxbj898,0.2720153905348211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj901,0.43078980241514614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj905,0.2309408793876319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj911,0.34633012697191223,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.4,3.5999999999999996,1,学业预警 (高危风险)
pjwrqxbj913,0.36133253487701555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj916,0.611215968030952,0.0,0.0,0.0,3.0,3.0,5.0,4.0,14.399999999999999,34.8,3,学业平稳 (低风险)
pjwrqxbj918,0.2805509811465948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj919,0.11609591826173105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj920,0.382401068625814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj923,0.4534920634920635,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,4.8,1,学业预警 (高危风险)
pjwrqxbj924,0.5472443247402847,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj925,0.8689597595591918,0.0,0.0,0.0,4.0,2.0,6.0,3.0,14.399999999999999,21.599999999999998,3,学业平稳 (低风险)
pjwrqxbj926,0.5213558190015027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj929,0.30231804773397697,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj932,0.6501586241442645,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj935,0.3598597428619136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj938,0.4883286024378027,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.4,4.8,0,学业关注 (潜在风险)
pjwrqxbj944,0.6693528280107734,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.4,3.5999999999999996,0,学业关注 (潜在风险)
pjwrqxbj945,0.34556687259976626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj948,0.26761677568295494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj949,0.6122558023042244,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj951,0.9685089330439138,0.0,0.0,0.0,5.0,3.0,13.0,9.0,14.399999999999999,52.0,2,优秀免检 (安全)
pjwrqxbj952,0.08793924338870777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj955,0.20667333589842246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
pjwrqxbj956,0.727433628318584,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj965,0.9392553013858741,0.0,0.0,0.0,5.0,3.0,12.0,2.0,3.5999999999999996,6.0,3,学业平稳 (低风险)
pjwrqxbj967,0.7551177158123226,0.0,0.0,0.0,4.0,2.0,7.0,5.0,14.399999999999999,35.199999999999996,3,学业平稳 (低风险)
pjwrqxbj973,0.6293544371762971,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj974,0.7857145055790689,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0,学业关注 (潜在风险)
pjwrqxbj977,0.3929108126803902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,学业预警 (高危风险)
